parlay_rank,league,home_team,away_team,game_date,game_time_est,best_pick,calibrated_probability,expected_value,edge,consensus_agreement,odds_american,market_probability,ml_probability
75,NBA,Memphis,Los Angeles Clippers,2026-03-07 00:00:00+00:00,,Memphis +7.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,✅ Agrees,-110.0,0.5238095238095238,
76,NBA,Milwaukee,Utah,2026-03-07 00:00:00+00:00,,Milwaukee -10.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,✅ Agrees,-110.0,0.5238095238095238,
77,NBA,Minnesota,Orlando,2026-03-07 00:00:00+00:00,,Minnesota -6.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,✅ Agrees,-110.0,0.5238095238095238,
78,NBA,Oklahoma City,Golden State,2026-03-07 00:00:00+00:00,,Oklahoma City -14.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,✅ Agrees,-110.0,0.5238095238095238,
79,NCAAB,Alabama,Auburn,2026-03-07 00:00:00+00:00,,Auburn +8.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
80,NCAAB,Appalachian St.,Southern Miss,2026-03-07 00:00:00+00:00,,Southern Miss +4.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
81,NCAAB,Austin Peay,Queens NC,2026-03-07 00:00:00+00:00,,Queens NC +1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
82,NCAAB,Baylor,Utah,2026-03-07 00:00:00+00:00,,Utah +12.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
83,NCAAB,Bradley,Northern Iowa,2026-03-07 00:00:00+00:00,,Northern Iowa +4.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
84,NCAAB,Clemson,Georgia Tech,2026-03-07 00:00:00+00:00,,Georgia Tech +17.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
85,NCAAB,Coastal Carolina,Georgia Southern,2026-03-07 00:00:00+00:00,,Georgia Southern +2.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
86,NCAAB,Colorado,Arizona,2026-03-07 00:00:00+00:00,,Arizona +17.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
87,NCAAB,Colorado St.,Boise St.,2026-03-07 00:00:00+00:00,,Boise St. +1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
88,NCAAB,Dartmouth,Cornell,2026-03-07 00:00:00+00:00,,Cornell +4.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
89,NCAAB,DePaul,Butler,2026-03-07 00:00:00+00:00,,Butler +3.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
90,NCAAB,Delaware,Louisiana Tech,2026-03-07 00:00:00+00:00,,Louisiana Tech +1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
91,NCAAB,Drexel,Northeastern,2026-03-07 00:00:00+00:00,,Northeastern +4.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
92,NCAAB,Duke,North Carolina,2026-03-07 00:00:00+00:00,,North Carolina +17.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
93,NCAAB,Duquesne,Richmond,2026-03-07 00:00:00+00:00,,Richmond +4.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
94,NCAAB,FIU,Western Kentucky,2026-03-07 00:00:00+00:00,,Western Kentucky +1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
95,NCAAB,Florida State,SMU,2026-03-07 00:00:00+00:00,,SMU +1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
96,NCAAB,Fordham,Rhode Island,2026-03-07 00:00:00+00:00,,Fordham -1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
97,NCAAB,George Mason,Saint Louis,2026-03-07 00:00:00+00:00,,George Mason +7.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
98,NCAAB,Georgetown,Providence,2026-03-07 00:00:00+00:00,,Georgetown -1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
99,NCAAB,Grand Canyon,Fresno St.,2026-03-07 00:00:00+00:00,,Grand Canyon -13.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
100,NCAAB,High Point,UNC Asheville,2026-03-07 00:00:00+00:00,,High Point -14.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
101,NCAAB,Idaho,Sacramento State,2026-03-07 00:00:00+00:00,,Idaho -6.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
102,NCAAB,Idaho State,Northern Arizona,2026-03-07 00:00:00+00:00,,Idaho State -5.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
103,NCAAB,Iowa State,Arizona State,2026-03-07 00:00:00+00:00,,Iowa State -15.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
104,NCAAB,Kansas,Kansas State,2026-03-07 00:00:00+00:00,,Kansas +16.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
105,NCAAB,Kentucky,Florida,2026-03-07 00:00:00+00:00,,Kentucky +6.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
106,NCAAB,LIU,Wagner,2026-03-07 00:00:00+00:00,,LIU -8.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
